Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
313,4007,202.51.88.0/24,,471.50604800605345,1762486989000,ARES-HIJACK-1762485995-4007-202.51.88.0/24-AGGREGATED,Finish Path Hijack,202.51.88.0/24,1762485995000,Finish,9498;152144,IN;SG,7
314,131207,2404:b300:1000::/48,,1221.3271102355245,1762488204000,ARES-HIJACK-1762485163-131207-2404:b300:1000::/48-AGGREGATED,Finish Path Hijack,2404:b300:1000::/48;2404:b300:100::/48;2404:b300:101::/48;2404:b300:11::/48;2404:b300:12::/48;2404:b300:133::/48;2404:b300:1::/48;2404:b300:2::/48,1762485163000,Finish,131207;6939,KH;US,18
315,131207,2404:b300:1000::/48,,1069.9604244043976,1762483583000,ARES-HIJACK-1762483063-131207-2404:b300:1000::/48-AGGREGATED,Finish Path Hijack,2404:b300:1000::/48;2404:b300:100::/48;2404:b300:101::/48;2404:b300:11::/48;2404:b300:12::/48;2404:b300:133::/48;2404:b300:1::/48;2404:b300:2::/48,1762483063000,Finish,131207;6939,KH;US,16
316,8369,195.114.122.0/24,,189.05168840400097,1762481130000,ARES-HIJACK-1762480187-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762480187000,Finish,8369;41327,RU;IT,1
317,8369,195.114.122.0/24,,290.77681459898656,1762479236000,ARES-HIJACK-1762478312-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762478312000,Finish,8369;41327,RU;IT,1
318,51087,2a13:a5c7:1400::/40,,452.65000292607715,1762476246000,ARES-HIJACK-1762474223-51087-2a13:a5c7:1400::/40-AGGREGATED,Finish Path Hijack,2a13:a5c7:1400::/40;2a0a:6040:d800::/40;2a0f:5707:fa00::/40;2a0f:7802:1000::/36,1762474223000,Finish,51087;6939,US;US,22
319,7642,2406:e400:2700::/48,,2441.558719254621,1762472203000,ARES-HIJACK-1762471314-7642-2406:e400:2700::/48-AGGREGATED,Finish Path Hijack,2406:e400:2700::/48,1762471314000,Finish,6939;18001,US;LK,2
320,9749,2001:df0:c2::/48,gpkhosting.com.au;gpk.net.au,429.6161754185992,1762453427000,ARES-HIJACK-1762453066-9749-2001:df0:c2::/48-AGGREGATED,Finish Path Hijack,2001:df0:c2::/48;2401:5500::/32,1762453066000,Finish,9749;6939,AU;US,23
321,55701,103.31.234.0/24,,198.75509624242062,1762453351000,ARES-HIJACK-1762450445-55701-103.31.234.0/24-AGGREGATED,Finish Path Hijack,103.31.234.0/24,1762450445000,Finish,55685;174,ID;US,3
322,133524,204.157.170.0/24,,906.3973121894496,1762498233000,ARES-HIJACK-1762444284-133524-204.157.170.0/24-AGGREGATED,Finish Path Hijack,204.157.170.0/24,1762444284000,Finish,4229;136168,US;MM,19
