Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,leak_asn,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
19,47583,84.32.84.0/24,cvscesta.com.br;constitutionfair.org;beyondexgay.com;change-how.com;rtphoki138.com;uptdselatan.com;letuscrack.com;skyseeds.pk;pretonobranco.org;gaiaroom.com;wee2you.ca;infokioscos.com.ar;uniontv.online;urjanchaltiger.com;koncertyw.pl;ivaldofs.com.br;educalidad.com;fearsteve.com;jyothyvidyalaya.org;medinza-pharm.com;activteam.com;thebest-on.com;lifetimefee.com;nattivos.com;video-repair.info;fondarc.it;peucor.com.ar;tomglen.com;myimmigra.com;suffolkprimarycare.uk;zelenka.club;studyhelpme.com;gleamlightindia.com;ufabet666.win;mobilesinbd.com;winpix.info;sortimentos.com.br;poplottery.com.br;labour24.com;apendiskins.com;rts000.xyz;rasatva.com;crackwatcher.com;goldenglitter.in;officialum1.com;tajir77.work;ismorbo.com;keralaservice.org;neobroker.pro;codrocket.com;currentnews.org.in;calirextn.com;geeklk.com;xcdd100.com;europeanidea.com;infradeep.tech;pokegourou.com;ksbusinessnews.com;medicalcitra.com;baliraja24x7.com;viajoteca.com;bananadirectories.com;met.ca;aorx.net;aranytalca.hu;topwebdigital.com.br;networkustad.com;vpntech.online;sharingourexperiences.com;rbkinternational.nl;3dactions.com;proffilm.com;christianslavetamil.in;jarrah.sa;drawfixedmatch.com;24x7bulletin.com;fairsoftair.com;mingmoonchineseri.com;villalalapv.com;neowaver.com;mr-robot-online.xyz;teleinfocenter.com;elrincondelcomic.com;huffmag.com;kingbacol.pro;adidasflipflops.us;cccam7.com;joker123s.com;packagemaldives.com;level789.tokyo;lagacetadigital.com.ar;inspired-beauty.com;lokman-hekim-baharat-kucukesat.com;gamersbee.com;kridhacollection.com;kvsangathan.org.in;1win-pro.fun;boxlte.com;sportsnewslives.com;newswireindia.in;1satta-king.in;newswiseup.com;thevigyan.com;fodsports.com;nerveshplus.com;bytzsoft.com;mannaresorts.com;namerartho.in;madridplanes.es;drinks.ua;nixwarehouse.com;get-biosoothepro.com;promocode-casino.com;assengaonline.com;portalped.com.br;keithdougherty.com;diutocoinnews.com.ng;healthicu.com;intetron.co;turfmesa.com;etapolska.pl;tiaratoto0812.com;rgsupportboy.com;theprostatepro.com;kolkataff2.in;esenciabodyandhome.com.ar;maharashtraschemes.com;mahikigunj.in;opendesigns.in;myescortservice.com;vipacademy.in;eventosaben.org.br;sev.ge;empregoeconcurso.top;wbagestao.com;fogonasado.com;whoelsewantstoliveinmyhouse.com;acc100.info;ivoiretv5.com;studioarh.ba;eternity-trade.com;gaspolwin.com;apkcheers.com;drurylandetheatre.com;spacesarchitects-ka.com;itsforbes.com;maroonedbd.com;thehottubideas.com;rumbleroyale.gg;crisvip.com;cryptonewcoins.com;basket-infos.com;e-halina.pl;online2let.com;ovainjoyasmayorista.com;adouros.gr;bloobocloud.com;5rambiental.com.br;cashsa.com.py;everipedia.io;correiopaulista.com;vet24x7.com;tinkerworlds.com;lakeviewnursinghome.co.uk;islavision.com.ar;besthottrends.com;greenphyll.in;1001yemektarifi.com;melmovinganddelivery.com;thebigindia.co.in;sibeti.com;e-szczawnica.org;sonria.com;healthykaiserahe.com;infoveganos.com;estore4.com;registrationswale.in;dms-designs.com;phbalance.pt;sometimetraveller.com;mawhopon.net;canadianeve21.com;mgpronosticos.com;alemtelekom.com.tr;theiadidaticos.com.br;datadot.in;lotusfoodservices.co.id;elrovisionltd.com;parquefutebol.com.br;bio3fitness.ca;mobiledor.com;gloim.com;zmartco.com;pppimagembahia.com.br;conceptonoticia.com;listopus.de;hoki138pro.com;nnexports.com;iuo.edu.mx;maldini1x2.com;bosketsalimentos.com;theenterpriseworld.com;eprimefeed.com;slot35omg.com;powerksi.com;ocotea.net.br;saba-news.com;brazilianassociationsa.com.au;franklinreporter.com;assettomods.com;bdhsystems.com;wigwonders.fun;konex.com.mx;aajkikhbar.com;bajarbhav.in;pricetoday.com.pk;asj.org.br;pawansutsecurity.com;mismeerut.com;dlsgallery.com;wisedynamic.in;emailtemp.in;disprol.com.br;aquilotiene.com;arabiccnc.com;firefree.com;pelislatino.org;mantralayajob.com;jepe777.shop;pc-androidemulator.com;plus.im;nursingweb.org;plus-plus.fr;seawaves.com;gehney.com;nathanandhazel.com;buyteastore.com;tts-b.com;pvpowers.in;tunbest.com;mspace.in;essentialhomme.net;ub2679.org;theycanparty.com;internationaltravelawards.org;astrosport21.com;learning-theories.com;aruble.net;alertejob.africa;cbse.guide;dubairealcity.com;thewattmarket.com;tordarkmarketurl.shop;curionet.com.br;cleverlearning.in;tveradioencontrodasaguas.com.br;skillabilly.com;orsamedya.com;elmkiduniya.com;theproadmin.online;web999.in;humanswere.com;mudhands.com;soccer-single.com;cameroongcerevision.com;popularonline.com.br;primeraal.com;yenmek.com;malamal.xyz;esevai.net;bruxasdoamor.com;xewt12.com;memesdownload.in;nlplimited.com;verohairshop.com;leanroid.com;blogscooper.com;adappte.com;cmihospital.com;eigierdiagnosticos.com.br;cakengifts.in;timesofagriculture.in;zainaskari.com;petcarecraze.com;crafting-dialogue.com;youspice.com;moneypromax.com;georgialandtrader.com;youthmukam.com;startermarkets.com;qwetyle.info;garasifile.xyz;comperiapr.com;cessionedelquinto.online;youthmusictheatreuk.org;supremenews.in;imageresize.me;11xplay.bet;dailyk2.com;connect4techs.com;abmarathi.com;simplecraftidea.com;bepec.in;whaleclub.co;airex.pk;chameleonmemes.com;rabindrasurgicals.com;dbx.pt;airnon.com;artstic.com;u7hiv.com;speedavata.com;dynamicsoftwareltd.com;insurancedecoder.com;silverlocators.xyz;cryptocheaps.com;bhutrastones.com;amazooads.in;tehriacrofestival.com;cinemahouse.club;srsmodule.com;viperinternet.com.br;distillife.com;vqaht.com;klasturk.net;mtlcommunitycontact.com;g1m.lat;queen24x7.com;vipbike.com.br;maxxconectado.com.br;telosanft.com;ecofusionpest.com;suresoccerpredict.com;gametube360.com;prayersandpetitions.org;thefinesttime.com;youngparents.com.sg;eboardresult.com;blwsongs.net;rgtechnicalboy.com;desingsaimari.com;wslt.xyz;ardorcomm-media.com;meowbls.com;canada-gooseoutlets.com.co;tintasplasticel.com;certificateland.com;widdertools.com;xclevitradb.com;southdelhipharma.com;maison-destock.com;tamaramichellejewelry.com;frisurendamen.com;bnbfaucet.site;tuguiadeaprendizaje.co;assignmentmaster.org.uk;laser-lavieen-goiania.com.br;clinicageneraldelnorte.com;estacher.com;esmario.com;guerrillazone.com;camerasprof.com;render360.com.br;justalia.es;satsang-foundation.org;emfocoonline.com.br;oceanwebtech.com;3spirittraining.com;cijj.com.br;vesselvascular.com.br;141jj.com;culture-informatique.net;okaymuz.com;lottostore.ru;veteranstodayarchives.com;akparmar.com;omrook.com;psdgraphics.com;jamesstrange.com;bookmarkdiary.com;bloodlineanimatedseries.com;challenge.gives;sunpacificholding.com;eurodeli.us;emmeloord.info;yaoundeinfo.com;wellbeingelegance.com;bookmarkinghost.info;eptv.in;revival-library.org;mientay1.com;micropowereng.com;blogdapolo.com.br;roha.com;lampost.co;gafkosoft.com;igtorcom.in;uiiumovies.net;flydiz.com;omgexploits.com;healthcareniche.com;sarkarisahayyojana.com;autospot.ge;continental-motor.com;asianewsnetwork.net;arya88top.com;packamon.com;vuzmuz.com;disenodigital.com.br;cooloringbook.com;bestoftci.com;mantire.in;elhamra.com.tr;darau.lt;karkey.in;llenadevida.org;urduwalapoetry.com;online-sell.co.uk;marugujarato.in;lapiramide.net;health24.tv;gugajunior.shop;wingsofhopeforafrica.ca;cheatjackpot.com;true-sys.com;randdom.com;cialisstep.com;haryananewstoday.com;iknowkitchen.com;docti-posture.com;feligrat.com;agrisolinc.com;arquivostec.com;vmone.in;24hsur7.fr;cargoconnect.co.in;c54app.com;ychuying.com;marijuanafloor.com;mfa.gov.af;dailycupofwellness.com;get4links.com;maxiproxies.com;grammary.in;startinfuture.com;redpeppergoleta.com;allinsurancefaq.com;cnxbpo.com;canuckscorner.com;cheongjipsa.com;bingportal.com;exitonoticias.com.bo;fresherjob.in;chekhiya.top;escolaflordavida.com;mariantime.org;bestupprofit.com;dnddiceroller.com;creadis.fr;boysinmovies.com;getmax.fun;escortsindelhi.net;keiramarcos.com;rajkotupdatesnews.in;pnnmohanschool.com;nflshopofficial.org;alguoa.com;percastillo.pe;adeel.com.br;gataviral.com;ushsfootball.com;studyvi.info;cotizacionbitcoin.me;enjoymobiles.online;goodmorningwishes.in;hanoimotorbike.vn;motos-motor.com.br;finasteridetabs.net;rummy-app.com;ybstudy.com;tapis-studio.com;veredasdoide.com;zuneta.com;vegaspokerpro.com;dipelectronicslab.com;dewaslot777.online;theflixer.xyz;horariosdeomnibus.com;acpl-india.in;tecnoyfoto.com;taiyanmedia.com;pemain88.site;posestacio.com.br;newsseva.in;thingstodocayman.net;infantv.com.br;gkbooks.in;brokkolianbau.store;store-info.net;datdotcom.com;aklasbelaustar.com;adclern.com;minecraftgames.org;7nagatoto8888.com;depodecorfloral.com;tfctitleloans.com;apkfre.com;muslimcommunityreport.com;bollyinside.com;conceitoartevisual.com.br;theclutch.com.br;primedayofferonamazn.in;nirankartoday.com;digitalmarketingsolutions101.com;laacib.net;foxbroadband.com;mira.ec;facilite.mobi;mateethisa.com;city-love-companions.com;urbantraffic.pl;x-vendor.com;crackslot.link;casinogates.info;myvantagepoint.in;articlesdo.com;mtsalmfra.net;avltechno.com;infoarenales.com;shiningoven.ie;parshwajewellers.com;cargo-london.com;pynr.in;vskaraokes.com.br;findyournextoffice.com;theedgeauto.com;lojaredsilverbr.online;lapute.lt;djgolumix.in;callsys.com.br;czwrestling.com;bookmarkfrog.com;analeads.com;3achemie.co.in;francaismeme.com;brucegerencser.net;chhattisgarh-24-news.com;osiyankart.com;shortener-url.id;hellskitchenrecipes.com;banglastatesman.com;dialabank.com;katyprimarycare.com;kordinate.world;fastsamachar.com;hindihainhum.co.in;protruyen.xyz;1touchfood.com;hindustanpanel.com;sattakingbhutni.in;goldcard.live;updatedideas.com;tobacoustic.com;b-opt-out.com;brazilcopos.com.br;fastvps.store;raybansunglassesoutlets.com.co;crbank.app;up.news;maverickengineers.net;todopararunning.com;aybila.com;gpslifetime.com.br;thenewspublicist.com;metatagonline.com;play-bazaar.org;adornosparacumple.com;investogist.com;noticiasbotucatu.com.br;cestbuy.com;adaptacjawnetrz.pl;excelfull.com;chennai.fyi;minstein.com;rtp707.org;zeros.eco;casinoonline.net;maxshineusa.com;lifewithgrace.net;tafrih98.com;135.com.ar;lacajalgbt.site;lonvablog.com;carmelmatrimonial.com;bytestart.co.uk;evshost.com;rwca.org.uk;puthurinfotech.org.in;puntalpie.com;vistosi.it;whatsgroup.in;proboards57.com;fruitsmoneyy.app;blueskyconsultancy.com;dart-europe.eu;vtforeignpolicy.com;cheezgam.es;thekashmirmonitor.net;anakslotku.com;traveltyrol.com;scoutspanama.com;613a.com;peepoparadise.com;bagusmana.id;ahmedabadescortsservices.co.in;marcomtech.in;quantum-hrmi.com;nirwanahillserpong.com;technicalyojana.com;galleryslides.com;kansabaki.com;notepad-plus-plus.org;gameshedge.com;traveltween.com;dvgsuddi.com;seyscom.net;cofek.co.ke;techguruplus.com;rapwaytrade.org;festac.info;ncertstudy.in;foujiadda.in;telmovid.xyz;easyhouse.com.sg;aninterestinghole.xyz;three-horse-shoes.co.uk;monarch-innovation.com;cw-trading.cz;pdfdownload.com.ng;agencynexa.com.br;rotigopdx.com;amigoo28.com;motorcyclemechanicmelbourne.com.au;dataminer.lt;adoxy.com.br;mejsp.com;nusc.in;technowep.com;single-life.co.kr;clubfactory.website;bartarbazar24.com;faheemakhterinternationalllc.com;pythonide.online;lankamatrimony.com;emaslapak777.com;greenfieldproperties.in;priyaji.com;radarinternet.com.br;companioncareconnectioninc.com;elitemedicaltraining.com;herbolarioagave.com;agencecodit.com;ecooda.com.br;onlinecasinobonus.reviews;pohonrejeki169.info;phproff.com;funerariamenezo.com;babimusic.site;outsourcedesigning.com;as7.com.br;selfdrivecarrent.in;thecrownrest.com;thecollapsingtower.com;attinnovationspace.com;linkyweb.com;tosskingraj.in;bdfbicycle.com;duino.pro;takneekiguru.com;sparkle-it.com;fbsquads.com;abbayesu.com;rtpgboku.dev;whiteboxmedia.ma;documentdatabase.org;chennaiswings.com;gohelpforall.com;game-max.info;impossiblesky.xyz;mapgeeks.org;lovermart.com;goatbetplus.net;peaceforfoods.com;aavaz.net;livinggardensnursery.com;huesfab.com;goalweb.nl;wearegurgaon.com;piercingmania.com.br;goaltyazili.xyz;cpa.gob.mx;belarus-fixed.com;newsorator.com;ijmhr.org;drwaelhendawy.com;ripcitygaragedoorrepairlocksmith.com;crypto-rain2x.cloud;memetemplates.in;cielonline.com.br;menangmenang.io;starkstudypoint.com;olaitapetininga.com.br;katamsrinivas.com;tharunraj.com;newsbitcoin.live;oman22.com;gmtvlatinos.com;kawwomkt.com;teenpattireferearn.com;texasroadhousemenu.us;jaianndata.com;juragan88.games;crypto888.fun;must-see-scotland.com;dedicatedgroup.org;ngplus.com.br;techforu.in;bengalifont.com;sportgid.net;coding001.top;ibiut.com;bloggalot.com;couponnxt.com;gethindimehelp.in;packdenovinhas.com;7thsisteronlinetambola.in;pcsindelhi.com;fugi.app;beeonline.net;redtub.live;ganethra.com;torbookomg.com;egypttourz.com;oglinzi.md;propertyle.com;smartengines.biz;thamizhpathivugal.com;estudio7.cl;vensco-eg.com;sakib.pro;raginigupta.com;rbkinternational.ae;clickmuseus.com.br;annietimenail.com;marinamarina.co.uk;5ynd.lk;krausmuller.com.br;modelina.com.ar;sureshotbrew.com;voceportugues.com.br;docesmordidas.com.br;coleccionabril.com.ar;howesweb.com;pkgtraducoes.com.br;eurolatinstudies.com;agrabharat.com;forlider.es;ardmoreposse.com;marathi-suvichar.com;khelogurukhelo.com;artsfiesta.com;asktoppers.com;bio-pedia.com;blognow.co.in;zerocoin.org;mblogverse.com;favorablegoods.com;mycannajobs.com;shabddoot.com;atejunin.com.ar;yakjoker.com;studyfordreams.in;omnitel.com.tr;pacesetter.info;micasillero.cr;tabebuyastore.com;starsunfolded.co;overcomingchange.com;just-for-pets.co.uk;acessecomunicacao.com.br;oldroms.com;navyavizag.in;laotraandalucia.org;classwork.cc;kuwait-fireworks.com;pasuracropcare.com;bollyfun.net;ntr-games.com;rkindustriesguj.com;sacrificialmods.com;legalvidhiya.com;clinicaviver.com;allianz-ubezpieczenia.pl;dinakleiman.com;marketingag.com;mamy-publikacje.pl;armazemdaval.com;noschoolacademy.com;truquedaslesbicaas.com;gramaticaemvideo.com.br;tmmedia.in;insidetheyard.com;norway-pick.com;grupointercompany.com.br;abm-bs.com;moraxy.com;dafootball.com;dispatch.ug;alxagency.com;mycinemascope.com;calerhome.com.my;asesasoft.com;learnfrenzy.com;kavithalu.in;moneyexcel.com;autoluz.net;mobiledealss.online;newjobss.com;michaelrytter.com;sitarofindiamd.com;aanc.org.ar;animetwixtor.com;mompamper.com;jansoochnaportal.com;pricemint.in;wona.app;gosriki.com;marathipictures.com;jktornel.com.mx;school22.org;poedagar.store;divicoded.com;getecoins.shop;picashow.in;1class.info;mainwin.org;qatarmalayalees.com;pornvilla.info;everesttrekandexpedition.com;meilleur-velo-electrique.com;printersupport24x7.com;mixcrix.com;nvgarageservices.com;blogdomarciorangel.com.br;softvision.edu.pk;magazinesweekly.com;conflict911.com;thewowdecor.com;superherouniverse.com;adambrownesquire.com;wellness4live.com;tlcnews.net;techmania.com.br;cbd-projects.com;koreangossip.net;reconstructfit.com;synthroida.com;sardarshaadi.com;esp32tutorials.com;marathicorner.com;iragitamilnovels.com;schoolsingh.com;poshasaudi.com;bestdrive.co.uk;aenoa.com;gjkre.com;qavor.com;makkitv.info;testopwer.in;damiaglobalservices.com;lanumero12.com.ar;arinatiles.com;e-novation.ma;acquaflorpaisagismo.com;ballhead.com;grupoache.com.br;janyukti.com;analiticatecnologia.com.br;latesttechnicalreviews.com;adithyalankaholidays.com;bds-bacvanphong.com;cod4x.me;jurnalfaktual.id;kenceshotel.in;essentialhomme.fr;tumkus.com.br;luckyoceanmerger.com;tycoonworld.in;taysurucukurslari.com;111pgslot.net;claudiaduran.com.mx;centralfallout.com;greensoftinfotech.com;blogbrawn.com;bankveles.com;myodiamuzic.com;dealstore.ma;iganyabusinesshub.org;limetorrents.asia;solopro.in;faisalabadfabricstore.com;weaponoid.com;lifescienceps.com;essentialsspain.com;atharsale.com;aides-pac-national.fr;apkssoul.com;win2winmall.in;digital66gd.com;dar.house;tudoaovivo.com.br;pmcrockland.com,1264.8472172263278,1764589741000,ARES-HIJACK-1764587745-47583-84.32.84.0/24-Leak-AGGREGATED,Finish Path Leak,55818,84.32.84.0/24,1764587745000,Finish,9498;55818,,13
20,24323,182.160.124.0/24,,209.03178283474278,1764673305000,ARES-HIJACK-1764671210-24323-182.160.124.0/24-Leak-AGGREGATED,Finish Path Leak,139009,182.160.124.0/24,1764671210000,Finish,9498;139009,IN;BD,17
21,138754,103.209.223.0/24,,225.22794227952616,1764702968000,ARES-HIJACK-1764684980-138754-103.209.223.0/24-Leak-AGGREGATED,Finish Path Leak,18101,103.209.223.0/24,1764684980000,Finish,4755;18101,IN;IN,18
22,138423,121.91.63.0/24,hrsgoctofy.com;hrsgssp.com;hrsgintranet.com,702.0529224423213,1764707660000,ARES-HIJACK-1764705975-138423-121.91.63.0/24-Leak-AGGREGATED,Finish Path Leak,59257,121.91.63.0/24,1764705975000,Finish,38193;59257,PK;PK,12
23,138423,121.91.63.0/24,hrsgintranet.com;hrsgoctofy.com;hrsgssp.com,805.7244119195784,1764715063000,ARES-HIJACK-1764713588-138423-121.91.63.0/24-Leak-AGGREGATED,Finish Path Leak,59257,121.91.63.0/24,1764713588000,Finish,38193;59257,PK;PK,14
24,37531,197.214.32.0/22,,828.417583863915,1764848502000,ARES-HIJACK-1764746068-37531-197.214.32.0/22-Leak-AGGREGATED,Finish Path Leak,24691,197.214.32.0/22,1764746068000,Finish,37613;24691,GH;TG,36
25,20940,23.203.174.0/24,,310.63863531746955,1765071918000,ARES-HIJACK-1764919809-20940-23.203.174.0/24-Leak-AGGREGATED,Finish Path Leak,45558,23.203.174.0/24,1764919809000,Finish,45629;45558,TH;MM,10
26,327885,196.249.73.0/24,,181.7269730612049,1765113455000,ARES-HIJACK-1765112241-327885-196.249.73.0/24-Leak-AGGREGATED,Finish Path Leak,37133,196.249.73.0/24,1765112241000,Finish,37035;37133,TZ;TZ,18
27,327885,196.249.73.0/24,,181.7269730612049,1765134847000,ARES-HIJACK-1765130502-327885-196.249.73.0/24-Leak-AGGREGATED,Finish Path Leak,37133,196.249.73.0/24,1765130502000,Finish,37035;37133,TZ;TZ,18
28,133712,45.248.122.0/24,,999.5196998521287,1765821876000,ARES-HIJACK-1765816916-133712-45.248.122.0/24-Leak-AGGREGATED,Finish Path Leak,134674,45.248.122.0/24;45.248.123.0/24,1765816916000,Finish,4755;134674,IN;IN,17
