Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
413,Victim:HK/AS 139659 (LUCID-AS-AP)<br> Attacker:/AS 60504 (),60504,Low Possibility,[object Object],955774130,1766393734440,Possible Hijack,38.55.192.0/22,19.28,high,75 websites in the prefix.,38.55.192.0/22;38.38.250.0/23;38.55.192.0/22;38.38.250.0/23;38.55.192.0/22;38.55.198.0/23;38.147.170.0/23;38.147.172.0/23;38.207.176.0/22;38.38.250.0/23;38.55.192.0/22;38.55.192.0/22;38.38.250.0/23;38.38.250.0/23;38.147.170.0/23;38.147.172.0/23;38.207.176.0/22;38.55.198.0/23;38.38.250.0/23;149.104.24.0/21;45.145.228.0/23;45.152.64.0/22;38.55.192.0/22;38.38.250.0/23;38.207.176.0/22;38.207.176.0/22;38.147.172.0/23;38.55.198.0/23;38.55.198.0/23;38.147.170.0/23;103.148.58.0/23;45.152.64.0/22;45.144.136.0/22;103.143.80.0/23;45.145.228.0/23;149.104.24.0/21;45.152.64.0/22;45.145.228.0/23;45.144.136.0/22;45.152.64.0/22;149.104.24.0/21;38.147.170.0/23;38.38.250.0/23;38.55.198.0/23;38.55.192.0/22;38.207.176.0/22;38.147.172.0/23;45.152.64.0/22;45.144.136.0/22;45.145.228.0/23;103.148.58.0/23;103.143.80.0/23;45.144.136.0/22;103.143.80.0/23;45.145.228.0/23;45.152.64.0/22;149.104.24.0/21;38.147.170.0/23;38.55.198.0/23;38.55.192.0/22;38.38.250.0/23;38.207.176.0/22;38.147.172.0/23,63,1765437960310,139659
414,Victim:GB/AS 47272 (HYEHOST)<br> Attacker:/AS 215265 (),215265,Not done,[object Object],85278860,1764168155630,Possible Hijack,2a09:54c5::/32,93.59,low,,2a09:54c5::/32,1,1764082876770,47272
415,Victim:SC/AS 202425 (INT-NETWORK)<br> Attacker:RO/AS 213370 (NETOMAT),213370,High Possibility,[object Object],33643570,1766657584820,Possible Hijack,45.148.144.0/24,7.14,middle,202425 is Cloud|IDC|CDN or top content provider.,45.148.144.0/24,1,1766623941250,202425
416,Victim:MD/AS 201670 (INFOTECH-GRUP)<br> Attacker:BE/AS 34872 (Servperso_Systems),34872,Not done,[object Object],47926800,1759484104800,Possible Hijack,2a0c:b641:3a0::/44,78.57,low,,2a0c:b641:3a0::/44,1,1759436178000,201670
417,Victim:US/AS 39944 (TNA)<br> Attacker:US/AS 20326 (TERASWITCH),20326,High Possibility,[object Object],5519551470,1765559881820,Possible Hijack,95.214.176.0/24,5.71,low,,95.214.176.0/24;95.214.176.0/24,2,1760040330350,39944
418,Victim:US/AS 61138 (ZAPPIE-HOST-AS)<br> Attacker:CA/AS 401665 (HOSTBILBY),401665,Not done,[object Object],52468820,1760706001380,Possible Hijack,2606:b940::/32,96.61,middle,61138 is Cloud|IDC|CDN or top content provider.,2606:b940::/32,1,1760653532560,61138
419,Victim:IN/AS 213711 (URLStart)<br> Attacker:IN/AS 133296 (WEBWERKS-AS-IN),133296,Not done,[object Object],299414930,1762787145060,Possible Hijack,104.234.184.0/24,13.86,middle,2 websites in the prefix.,104.234.184.0/24;104.234.184.0/24;104.234.184.0/24,3,1762487730130,213711
420,Victim:GB/AS 212238 (CDNEXT)<br> Attacker:US/AS 834 (IPXO),834,Not done,[object Object],17862620,1762869515320,Possible Hijack,188.191.97.0/24,89.87,low,,188.191.97.0/24,1,1762851652700,212238
421,Victim:UA/AS 206963 (SprintCDN)<br> Attacker:US/AS 30058 (FDCSERVERS),30058,Low Possibility,[object Object],21942330,1769438311300,Possible Hijack,185.248.171.0/24,13.33,middle,1 websites in the prefix.,185.248.171.0/24;185.248.171.0/24,2,1769416368970,206963
422,Victim:TR/AS 200239 (BOGAHOST)<br> Attacker:US/AS 18779 (EGIHOSTING),18779,Low Possibility,[object Object],488314720,1759747133400,Possible Hijack,104.252.135.0/24,27.37,low,,104.252.135.0/24;104.252.135.0/24;104.252.135.0/24,3,1759258818680,200239
